date,REV_GG_TAX_TOTAL_M,REV_CG_TOTAL_M,EXP_CG_TOTAL_M,EXP_GG_TOTAL_Q,REV_GG_TOTAL_Q
2018-08-01,59226702845.2423,29801398389.3224,29772880050.3962,,
2018-09-01,59800648904.4023,29082273338.5775,28590443321.6141,128656737571.847,133518672439.027
2018-10-01,61144682489.657,28176587295.3272,29140043395.9198,,
2018-11-01,59665914599.6979,29984610293.3387,28466322511.9036,,
2018-12-01,59530038208.1956,27705936556.4999,30604684970.1409,131013600948.503,133805751299.661
2019-01-01,59380278397.3867,28307123573.9966,28626101501.4625,,
2019-02-01,59106336840.184,25574010904.7746,27837063521.7521,,
2019-03-01,60979577817.6546,30212018530.8743,26530441594.8972,130702630324.181,135735030083.55
2019-04-01,61840271930.1027,30757855099.2648,28341698463.9807,,
2019-05-01,60911299161.0695,30412249355.8182,28985788443.1658,,
2019-06-01,62179989169.2876,30707937712.7347,32261652754.0682,132752064833.926,139194454295.848
2019-07-01,59336154572.4555,27686043191.6478,25421985973.1931,,
2019-08-01,62293023464.3727,30172429319.7254,31236009823.0002,,
2019-09-01,62970420878.0073,30461344747.9509,29477454958.9016,136578433127.787,138628904229.855
2019-10-01,62976892014.7349,30403130794.1828,28591544252.4299,,
2019-11-01,62902478313.8745,31572575984.5414,28450129471.3321,,
2019-12-01,60736052542.4394,29257418311.9177,27035906043.1677,136529016117.781,138508573563.844
2020-01-01,63782767050.8351,28448694594.4656,29502993990.6299,,
2020-02-01,62951114920.6028,31549891490.1251,28902978574.4617,,
2020-03-01,59716223648.0983,31915874226.4201,29304420846.7301,139405206701.328,139981040190.598
2020-04-01,46899453841.8514,21550666158.9215,44126497830.9701,,
2020-05-01,48766527501.6697,17010985488.6203,32484600198.376,,
2020-06-01,50285561405.3113,24526142120.2488,36582533826.234,149776317067.016,128960623611.572
2020-07-01,59528083032.1152,26419207822.9615,33239166288.2094,,
2020-08-01,60993433993.4928,25577281071.9113,32877673166.0167,,
2020-09-01,54882606241.5599,24419782854.4089,33636452217.2477,148910715355.962,132383497909.609
2020-10-01,57624580895.3156,27592252183.1488,40108810714.4861,,
2020-11-01,58561511425.9531,22360894224.1413,60507172678.6341,,
2020-12-01,58783274262.4454,27124491776.372,38817953642.7066,149354701402.052,135753127085.732
2021-01-01,56714441616.1525,23709810717.2633,40557768902.8556,,
2021-02-01,58913070387.6342,23579822624.5877,40306279192.243,,
