date,REV_GG_TAX_TOTAL,REV_CG_TOTAL,EXP_CG_TOTAL,EXP_GG_SA_TOTAL,REV_GG_SA_TOTAL,IFO_BIZCLIMATE,GDP_DEFLATOR,GDP_REAL,HICP_TOTAL,IP_TOTAL,RETAIL_TURNOVER,AUTO_SALES,BUND_YIELD_10Y
1976-03-01,,5683768818.0,6431002585.0,,,,,,,,,271310.0,8.28
1976-04-01,,4910218535.0,5922550919.0,,,,,,,,,255652.0,8.53
1976-05-01,,4469877227.0,6299309407.999996,,,,,,,,,227581.0,8.88
1976-06-01,,6622265885.0,7136738146.000004,,,,,,,,,210394.0,8.84
1976-07-01,,5406462126.0,6894389860.0,,,,,,,,,162672.0,8.92
1976-08-01,,4939031389.0,6503046190.0,,,,,,,,,121828.0,8.67
1976-09-01,,6712768797.0,6413541166.0,,,,,,,,,191610.0,8.35
1976-10-01,,5404361499.0,7101709783.0,,,,,,,,,184462.0,8.14
1976-11-01,,5264969569.0,8551570917.0,,,,,,,,,177124.0,7.65
1976-12-01,,10404465201.0,6724137443.0,,,,,,,,,154405.0,7.76
1977-01-01,,5595444371.0,9409518023.0,,,,,,,,,181483.0,7.42
1977-02-01,,5271930453.0,6004843799.0,,,,,,,,,208641.0,7.39
1977-03-01,,6606620306.0,6779919035.0,,,,,,,,,309143.0,7.08
1977-04-01,,4942486945.0,6091648529.0,,,,,,,,,261325.0,6.75
1977-05-01,,5051925388.0,6309635062.0,,,,,,,,,252815.0,6.86
1977-06-01,,7458403785.0,7529475260.0,,,,,,,,,237805.0,6.83
1977-07-01,,5901953887.0,7452499202.0,,,,,,,,,198670.0,6.63
1977-08-01,,5418750387.0,7218830878.0,,,,,,,,,144227.0,6.56
1977-09-01,,7633431609.0,7072540731.0,,,,,,,,,199517.0,6.5
1977-10-01,,5910052315.0,7542950735.0,,,,,,,,,199229.0,6.5
1977-11-01,,5575895808.0,9450546250.0,,,,,,,,,186276.0,6.44
1977-12-01,,11201725659.0,7055037568.0,,,,,,,,,182147.0,6.34
1978-01-01,,5670723643.0,10457469117.0,,,,,,,,,205994.0,6.27
1978-02-01,,6108837952.0,6746252308.0,,,,,,,,,205140.0,6.05
1978-03-01,,7252398094.0,8181714187.0,,,,,,,,,305830.0,5.97
1978-04-01,,5535065586.0,6693166066.0,,,,,,,,,271208.0,6.05
